Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,Time_sec,location_short,time,SEL_dB,tags,type,operator
Mon 03:08:35 PM,52.2383,6.929,← 307°,421.0,484.0,"23,800","-2,438",FlightAware ADS-B (MST / EHBK),Arrivals,KLM1824,2025-03-24 20:37:17,54515,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:08:37 PM,48.1142,6.0669,↑ 341°,417.0,480.0,"38,550",594,FlightAware ADS-B (EDTW),Arrivals,KLM1938,2025-03-24 21:16:30,54517,Co,2025-03-24 09:39:53,80.09091481043761,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:08:38 PM,52.194,4.7275,↑ 3°,157.0,181.0,"2,150",-900,FlightAware ADS-B (LEY / EHLE),Arrivals,BAW442,2025-03-24 20:17:24,54518,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:08:39 PM,52.1144,4.8466,↓ 181°,375.0,432.0,"12,675","2,328",FlightAware ADS-B (EHHA),Departures,IBS1794,2025-03-24 20:17:24,54519,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:08:43 PM,52.1845,20.9001,← 287°,189.0,217.0,"2,250","1,727",FlightAware ADS-B (WAW / EPWA),Arrivals,KLM1318,2025-03-24 21:55:22,54523,Da,2025-03-24 13:36:37,77.43144396074753,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:08:44 PM,41.8059,12.1653,← 308°,214.0,246.0,"2,550","2,488",FlightAware ADS-B (CIA / LIRA),Arrivals,KLM1608,2025-03-24 22:14:54,54524,Da,2025-03-24 11:26:29,78.3267559870196,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:08:45 AM,-29.1093,18.0681,↑ 353°,443.0,510.0,"35,000",-22,FlightAware ADS-B (UTN / FAUP),Arrivals,KLM596,2025-03-24 18:38:40,11325,Ku,2025-03-24 17:26:41,71.32310002002386,Aalsmeerbaan36R_L,Boeing 787-9,KLM
Mon 03:08:51 PM,52.2539,6.8848,← 293°,430.0,495.0,"23,125","-2,484",FlightAware ADS-B (GRQ / EHGG),Arrivals,KLM1824,2025-03-24 20:37:17,54531,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:08:56 PM,37.831,23.7576,← 301°,275.0,316.0,"7,500","2,484",FlightAware ADS-B (LGTT),Arrivals,TRA6866,2025-03-24 23:13:46,54536,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:09:00 PM,52.1847,20.8733,← 258°,212.0,244.0,"2,850","2,959",FlightAware ADS-B (RDO / EPRA),Arrivals,KLM1318,2025-03-24 21:55:22,54540,Da,2025-03-24 13:36:37,77.43144396074753,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:09:07 PM,52.0658,4.8457,↓ 181°,383.0,441.0,"13,775","2,156",FlightAware ADS-B (AMS / EHAM),Departures,IBS1794,2025-03-24 20:17:24,54547,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:09:08 PM,52.2158,4.7295,↑ 3°,153.0,176.0,"1,700",-850,FlightAware ADS-B (RTM / EHRD),Arrivals,BAW442,2025-03-24 20:17:24,54548,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:09:09 PM,41.8215,12.1399,← 309°,221.0,254.0,"3,750","2,740",FlightAware ADS-B (FCO / LIRF),Arrivals,KLM1608,2025-03-24 22:14:54,54549,Da,2025-03-24 11:26:29,78.3267559870196,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:09:17 PM,52.1496,4.7234,↑ 4°,173.0,199.0,"3,025","-1,100",FlightAware ADS-B (UDE / EHVK),Arrivals,KLM1142,2025-03-24 20:37:17,54557,Co,2025-03-24 15:12:05,81.12703510868954,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:09:26 PM,37.8512,23.716,← 302°,281.0,323.0,"8,650","2,440",FlightAware ADS-B (LGTT),Arrivals,TRA6866,2025-03-24 23:13:46,54566,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:09:27 PM,52.028,4.8434,↓ 185°,395.0,455.0,"14,400","2,092",FlightAware ADS-B (DHR / EHKD),Departures,IBS1794,2025-03-24 20:17:24,54567,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:09:29 PM,52.1822,4.7673,↑ 3°,178.0,205.0,"2,050",-950,FlightAware ADS-B (EHVB),Arrivals,KLM896,2025-03-24 20:37:17,54569,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:09:37 PM,48.2215,6.0113,↑ 341°,420.0,483.0,"39,050",411,FlightAware ADS-B (LUX / ELLX),Arrivals,KLM1938,2025-03-24 21:16:30,54577,Co,2025-03-24 09:39:53,80.09091481043761,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:09:38 PM,52.2367,4.7314,↑ 3°,140.0,161.0,"1,300",-771,FlightAware ADS-B (AMS / EHAM),Arrivals,BAW442,2025-03-24 20:17:24,54578,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:09:43 PM,52.2392,4.7317,↑ 3°,138.0,159.0,"1,250",-750,Surface and Near-Surface,Arrivals,BAW442,2025-03-24 20:17:24,54583,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:09:45 PM,51.9983,4.828,↙ 205°,396.0,456.0,"15,100","2,469",FlightAware ADS-B (EHVB),Departures,IBS1794,2025-03-24 20:17:24,54585,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:09:47 PM,52.1735,4.7259,↑ 4°,158.0,182.0,"2,500",-900,FlightAware ADS-B (GLZ / EHGR),Arrivals,KLM1142,2025-03-24 20:37:17,54587,Co,2025-03-24 15:12:05,81.12703510868954,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:09:54 PM,52.2463,4.7323,↑ 3°,131.0,151.0,"1,100",-722,FlightAware ADS-B (AMS / EHAM),Arrivals,BAW442,2025-03-24 20:17:24,54594,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:09:59 PM,52.2057,4.7695,↑ 3°,169.0,194.0,"1,625",-875,FlightAware ADS-B (EHVB),Arrivals,KLM896,2025-03-24 20:37:17,54599,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:10:05 PM,52.2456,6.6485,← 259°,429.0,494.0,"20,450","-2,029",FlightAware ADS-B (GRQ / EHGG),Arrivals,KLM1824,2025-03-24 20:37:17,54605,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:10:06 PM,52.1832,20.7588,← 270°,250.0,288.0,"6,875","4,167",FlightAware ADS-B (WAW / EPWA),Arrivals,KLM1318,2025-03-24 21:55:22,54606,Da,2025-03-24 13:36:37,77.43144396074753,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:10:09 PM,52.3655,4.7117,↑ 2°,148.0,170.0,"1,175","1,734",FlightAware ADS-B (AMS / EHAM),Departures,KLM1783,2025-03-24 20:17:24,54609,Da,2025-03-24 16:30:43,81.64493139988807,Aalsmeerbaan36R_L,Embraer ERJ190-100STD,KLM
Mon 03:10:10 PM,52.255,4.7331,↑ 3°,122.0,140.0,925,-703,FlightAware ADS-B (UTC / EHSB),Arrivals,BAW442,2025-03-24 20:17:24,54610,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:10:11 PM,37.8805,23.6544,← 301°,286.0,329.0,"10,550","1,940",FlightAware ADS-B (ATH / LGAV),Arrivals,TRA6866,2025-03-24 23:13:46,54611,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:10:15 PM,51.9483,4.7887,↙ 206°,398.0,458.0,"16,375","2,382",FlightAware ADS-B (EHHA),Departures,IBS1794,2025-03-24 20:17:24,54615,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:10:17 PM,52.1938,4.7277,↑ 3°,156.0,180.0,"2,125",-825,FlightAware ADS-B (EHHV),Arrivals,KLM1142,2025-03-24 20:37:17,54617,Co,2025-03-24 15:12:05,81.12703510868954,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:10:25 PM,52.3765,4.7128,↑ 4°,179.0,206.0,"1,400","1,125",FlightAware ADS-B (AMS / EHAM),Departures,KLM1783,2025-03-24 20:17:24,54625,Da,2025-03-24 16:30:43,81.64493139988807,Aalsmeerbaan36R_L,Embraer ERJ190-100STD,KLM
Mon 03:10:26 PM,52.2646,4.734,↑ 3°,119.0,137.0,725,-656,FlightAware ADS-B (EHVB),Arrivals,BAW442,2025-03-24 20:17:24,54626,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:10:28 PM,48.3143,5.9631,↑ 341°,419.0,482.0,"39,575",520,FlightAware ADS-B,Arrivals,KLM1938,2025-03-24 21:16:30,54628,Co,2025-03-24 09:39:53,80.09091481043761,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:10:29 PM,52.2275,4.7714,↑ 3°,154.0,177.0,"1,175",-907,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM896,2025-03-24 20:37:17,54629,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:10:35 PM,52.2346,6.5559,← 259°,419.0,482.0,"19,450","-2,000",FlightAware ADS-B (ENS / EHTW),Arrivals,KLM1824,2025-03-24 20:37:17,54635,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:10:36 PM,51.9142,4.7617,↙ 206°,402.0,463.0,"17,125","1,893",FlightAware ADS-B (EHHV),Departures,IBS1794,2025-03-24 20:17:24,54636,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:10:40 PM,41.9117,12.0779,↑ 347°,284.0,327.0,"7,325","2,462",FlightAware ADS-B (CIA / LIRA),Arrivals,KLM1608,2025-03-24 22:14:54,54640,Da,2025-03-24 11:26:29,78.3267559870196,Aalsmeerbaan36R_L,Boeing 737-800,KLM
Mon 03:10:41 PM,52.3924,4.7144,↑ 4°,202.0,232.0,"1,775","2,526",FlightAware ADS-B (AMS / EHAM),Departures,KLM1783,2025-03-24 20:37:17,54641,Da,2025-03-24 16:30:43,81.64493139988807,Aalsmeerbaan36R_L,Embraer ERJ190-100STD,KLM
Mon 03:10:42 PM,52.2732,4.7347,↑ 4°,114.0,131.0,575,-609,FlightAware ADS-B (EHVB),Arrivals,BAW442,2025-03-24 20:17:24,54642,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:10:45 PM,52.2394,4.7727,↑ 4°,143.0,165.0,925,-711,FlightAware ADS-B (EHHV),Arrivals,KLM896,2025-03-24 20:37:17,54645,Ku,2025-03-24 19:10:34,69.8932725457443,Aalsmeerbaan36R_L,Boeing 777-200,KLM
Mon 03:10:47 PM,52.2162,4.7295,↑ 3°,155.0,178.0,"1,675",-850,FlightAware ADS-B (RTM / EHRD),Arrivals,KLM1142,2025-03-24 20:37:17,54647,Co,2025-03-24 15:12:05,81.12703510868954,Zwanenburgbaan36C_L,Boeing 737-800,KLM
Mon 03:10:49 AM,-28.8565,18.0306,↑ 353°,446.0,513.0,"35,000",23,FlightAware ADS-B (UTN / FAUP),Arrivals,KLM596,2025-03-24 18:38:40,11449,Ku,2025-03-24 17:26:41,71.32310002002386,Aalsmeerbaan36R_L,Boeing 787-9,KLM
Mon 03:10:53 PM,52.2281,6.5004,← 259°,414.0,476.0,"18,850","-2,000",FlightAware ADS-B (ENS / EHTW),Arrivals,KLM1824,2025-03-24 20:37:17,54653,Da,2025-03-24 14:45:43,77.95329219067148,Aalsmeerbaan36R_L,Embraer ERJ 170-200 STD,KLM
Mon 03:10:57 PM,51.8773,4.7327,↙ 206°,411.0,473.0,"17,700","1,683",FlightAware ADS-B (EHDL),Departures,IBS1794,2025-03-24 20:17:24,54657,Da,2025-03-24 17:42:28,67.29988761941017,Zwanenburgbaan36C_L,Airbus A320 214,Iberia
Mon 03:10:58 PM,52.2816,4.7355,↑ 4°,116.0,133.0,400,-656,FlightAware ADS-B (EHHV),Arrivals,BAW442,2025-03-24 20:17:24,54658,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:11:11 PM,37.927,23.558,← 302°,342.0,394.0,"11,900","2,175",FlightAware ADS-B (ATH / LGAV),Arrivals,TRA6866,2025-03-24 23:13:46,54671,Co,2025-03-24 22:00:20,80.97888705572194,Zwanenburgbaan36C_L,Boeing 737-800,Transavia
Mon 03:11:14 PM,52.2898,4.7362,↑ 3°,117.0,135.0,225,-656,FlightAware ADS-B (NRN / EDLV),Arrivals,BAW442,2025-03-24 20:17:24,54674,Co,2025-03-24 19:09:29,76.78182139580937,Zwanenburgbaan36C_L,Airbus A320 232,British Airways
Mon 03:11:17 PM,52.2362,4.7314,↑ 3°,149.0,171.0,"1,275",-818,FlightAware ADS-B (AMS / EHAM),Arrivals,KLM1142,2025-03-24 20:37:17,54677,Co,2025-03-24 15:12:05,81.12703510868954,Zwanenburgbaan36C_L,Boeing 737-800,KLM
